MATERIAL;;Etiquetas de fila;NOMBRE PRODUCTO;  PRECIO  ; TOTAL BOLSAS/CAJAS;TOTAL STAND BODEGA;TOTAL EXHIBICIÓN;TOTAL CARRITO;FALTA FACTU FEEAN;VENTA INTERNA FALTA SALIDA;VITRINAS EXTERIOR;INVENTARIO FISICO;INVENTARIO SAP;DIFERENCIA;VALOR INVENTARIO;DESCONTAR;INGRESAR;Observación
116000000000000188;0188;CAMISETAS;CAMISETA BASICA NEGRA LOGO MUJER L; 55.000 ;;8;;;;;;7;7;0;$ 385.000;;;OK
116000000000000189;0189;CAMISETAS;CAMISETA BASICA NEGRA LOGO MUJER XL; 55.000 ;;7;;;;;;8;8;0;$ 440.000;;;OK
116000000000000067;0067;CAMISETAS;CAMISETA BLANCA EAN HOMBRE XS; 55.000 ;0;0;0;0;0;0;0;0;0;0;$ 0;;;OK
116000000000000065;0065;CAMISETAS;CAMISETA BLANCA EAN HOMBRE S; 55.000 ;;3;;;;;;3;3;0;$ 165.000;;;OK
116000000000000064;0064;CAMISETAS;CAMISETA BLANCA EAN HOMBRE M; 55.000 ;;8;;;;;;8;8;0;$ 440.000;;;OK
116000000000000063;0063;CAMISETAS;CAMISETA BLANCA EAN HOMBRE L; 55.000 ;;9;;;;;;9;9;0;$ 495.000;;;OK
116000000000000066;0066;CAMISETAS;CAMISETA BLANCA EAN HOMBRE XL; 55.000 ;;4;;;;;;4;4;0;$ 220.000;;;OK
116000000000000072;0072;CAMISETAS;CAMISETA BLANCA EAN MUJER XS; 55.000 ;0;0;0;0;0;0;0;0;0;0;$ 0;;;OK
116000000000000070;0070;CAMISETAS;CAMISETA BLANCA EAN MUJER S; 55.000 ;;5;1;;;;;6;6;0;$ 330.000;;;OK
116000000000000069;0069;CAMISETAS;CAMISETA BLANCA EAN MUJER M; 55.000 ;;9;;;;;;9;9;0;$ 495.000;;;OK
116000000000000068;0068;CAMISETAS;CAMISETA BLANCA EAN MUJER L; 55.000 ;;4;;;;;;4;4;0;$ 220.000;;;OK
116000000000000071;0071;CAMISETAS;CAMISETA BLANCA EAN MUJER XL; 55.000 ;;6;;;;;;6;6;0;$ 330.000;;;OK
116000000000000404;0404;CAMISETAS;CAMISETA BLANCA MELI XS; 55.000 ;;;;;;;;0;1;1;$ 0;$ 55.000;;No se les pudo dar salida del inventario
116000000000000430;0430;CAMISETAS;CAMISETA BLANCA MELI S; 55.000 ;;;;;;;;0;3;3;$ 0;$ 165.000;;No se les pudo dar salida del inventario
116000000000000431;0431;CAMISETAS;CAMISETA BLANCA MELI M; 55.000 ;;5;;;;;;5;5;0;$ 275.000;;;OK
116000000000000432;0432;CAMISETAS;CAMISETA BLANCA MELI L; 55.000 ;;4;;;;;;4;4;0;$ 220.000;;;OK
