MATERIAL;NOMBRE PRODUCTO;INVENTARIO FISICO;INVENTARIO SAP;DIFERENCIA
116000000000000265;CAMISETA I LOVE NEGRA HOMBRE S;1;1;0
116000000000000264;CAMISETA I LOVE NEGRA HOMBRE M;0;0;0
116000000000000263;CAMISETA I LOVE NEGRA HOMBRE L;0;0;0
116000000000000262;CAMISETA I LOVE NEGRA HOMBRE XL;0;0;0
116000000000000270;CAMISETA I LOVE NEGRA MUJER XS;0;0;0
116000000000000269;CAMISETA I LOVE NEGRA MUJER S;7;7;0
116000000000000268;CAMISETA I LOVE NEGRA MUJER M;6;6;0
116000000000000267;CAMISETA I LOVE NEGRA MUJER L;4;4;0
116000000000000266;CAMISETA I LOVE NEGRA MUJER XL;6;5;-1
116000000000000077;CAMISETA LOGO NEGRA HOMBRE XS;0;0;0
116000000000000075;CAMISETA LOGO NEGRA HOMBRE S;0;0;0
116000000000000074;CAMISETA LOGO NEGRA HOMBRE M;0;0;0
116000000000000073;CAMISETA LOGO NEGRA HOMBRE L;0;0;0
116000000000000076;CAMISETA LOGO NEGRA HOMBRE XL;0;0;0
116000000000000082;CAMISETA LOGO NEGRA MUJER XS;0;0;0
116000000000000080;CAMISETA LOGO NEGRA MUJER S;1;1;0
116000000000000079;CAMISETA LOGO NEGRA MUJER M;0;0;0
116000000000000078;CAMISETA LOGO NEGRA MUJER L;0;0;0
116000000000000081;CAMISETA LOGO NEGRA MUJER XL;0;0;0
116000000000000452;CAMISETA NEGRA EAN HOMBRE S;3;3;0
116000000000000453;CAMISETA NEGRA EAN HOMBRE M;0;0;0
116000000000000454;CAMISETA NEGRA EAN HOMBRE L;5;5;0
116000000000000455;CAMISETA NEGRA EAN HOMBRE XL;4;4;0
116000000000000456;CAMISETA NEGRA EAN MUJER XS;0;0;0
116000000000000457;CAMISETA NEGRA EAN MUJER S;0;1;1
116000000000000458;CAMISETA NEGRA EAN MUJER M;0;1;1
116000000000000459;CAMISETA NEGRA EAN MUJER L;5;5;0
116000000000000460;CAMISETA NEGRA EAN MUJER XL;5;5;0
116000000000000283;CAMISETA POLO GRIS HOMBRE S;0;0;0
116000000000000282;CAMISETA POLO GRIS HOMBRE M;0;0;0
116000000000000281;CAMISETA POLO GRIS HOMBRE L;0;0;0
116000000000000280;CAMISETA POLO GRIS HOMBRE XL;0;0;0
116000000000000288;CAMISETA POLO GRIS MUJER XS;1;1;0
116000000000000287;CAMISETA POLO GRIS MUJER S;0;1;1
116000000000000286;CAMISETA POLO GRIS MUJER M;0;0;0
116000000000000285;CAMISETA POLO GRIS MUJER L;0;0;0
116000000000000284;CAMISETA POLO GRIS MUJER XL;0;0;0
116000000000000274;CAMISETA POLO NEGRA HOMBRE S;0;0;0
116000000000000273;CAMISETA POLO NEGRA HOMBRE M;0;0;0
116000000000000272;CAMISETA POLO NEGRA HOMBRE L;0;0;0
116000000000000271;CAMISETA POLO NEGRA HOMBRE XL;0;1;1
116000000000000279;CAMISETA POLO NEGRA MUJER XS;0;0;0
116000000000000278;CAMISETA POLO NEGRA MUJER S;0;0;0
116000000000000277;CAMISETA POLO NEGRA MUJER M;0;0;0
116000000000000276;CAMISETA POLO NEGRA MUJER L;0;0;0
116000000000000275;CAMISETA POLO NEGRA MUJER XL;0;0;0
116000000000000116;CAMISETA SUBLIMADA VERDE HOMBRE XS;0;0;0
116000000000000117;CAMISETA SUBLIMADA VERDE HOMBRE S;0;0;0
116000000000000118;CAMISETA SUBLIMADA VERDE HOMBRE M;0;0;0
116000000000000119;CAMISETA SUBLIMADA VERDE HOMBRE L;0;0;0
116000000000000120;CAMISETA SUBLIMADA VERDE HOMBRE XL;0;0;0
116000000000000111;CAMISETA SUBLIMADA VERDE MUJER XS;0;3;3
116000000000000112;CAMISETA SUBLIMADA MUJER VERDE S;0;0;0
116000000000000113;CAMISETA SUBLIMADA VERDE MUJER M;0;0;0
116000000000000114;CAMISETA SUBLIMADA VERDE MUJER L;0;0;0
116000000000000115;CAMISETA SUBLIMADA VERDE MUJER XL;0;0;0
116000000000000139;CAMISETA TRES CUARTOS AMARILLA HOMBRE S;3;3;0
116000000000000140;CAMISETA TRES CUARTOS AMARILLA HOMBRE M;10;10;0
